age,job,marital,education,default,housing,loan,contact,month,day_of_week,y
42,admin.,married,university.degree,no,no,yes,telephone,may,mon,no
50,admin.,married,basic.6y,no,no,no,telephone,may,mon,no
31,technician,divorced,professional.course,no,yes,yes,telephone,may,mon,no
56,retired,married,basic.4y,no,yes,no,telephone,may,mon,no
41,technician,married,professional.course,unknown,yes,no,telephone,may,mon,yes
37,blue-collar,married,basic.6y,no,yes,yes,telephone,may,mon,no
41,technician,married,professional.course,unknown,no,no,telephone,may,mon,no
35,blue-collar,married,unknown,no,yes,no,telephone,may,mon,no
37,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,no
52,management,married,university.degree,no,no,no,telephone,may,mon,no
39,management,divorced,university.degree,no,no,no,telephone,may,mon,no
39,housemaid,married,basic.4y,unknown,no,no,telephone,may,mon,no
56,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,no
34,services,married,high.school,no,yes,no,telephone,may,mon,no
45,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,mon,yes
43,unemployed,single,university.degree,no,yes,no,telephone,may,mon,no
56,management,married,unknown,no,yes,no,telephone,may,mon,no
39,management,married,university.degree,no,yes,no,telephone,may,mon,no
53,blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,no
38,unknown,divorced,high.school,unknown,yes,no,telephone,may,mon,no
42,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,mon,no
42,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,no
35,admin.,single,high.school,no,yes,no,telephone,may,mon,no
40,admin.,married,university.degree,unknown,yes,no,telephone,may,mon,no
51,blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,no
60,blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,no
56,entrepreneur,married,unknown,unknown,yes,no,telephone,may,mon,no
39,services,divorced,high.school,unknown,yes,no,telephone,may,mon,no
56,entrepreneur,married,unknown,unknown,no,no,telephone,may,mon,no
40,blue-collar,married,unknown,no,yes,yes,telephone,may,mon,no
36,blue-collar,married,basic.9y,no,yes,yes,telephone,may,mon,no
51,blue-collar,married,unknown,unknown,yes,no,telephone,may,mon,no
51,blue-collar,married,unknown,unknown,no,no,telephone,may,mon,no
43,technician,single,professional.course,no,yes,no,telephone,may,mon,no
59,services,married,high.school,no,no,no,telephone,may,mon,no
24,management,single,university.degree,no,yes,no,telephone,may,mon,no
37,blue-collar,single,basic.9y,unknown,yes,yes,telephone,may,mon,no
40,blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,no
42,blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,no
39,services,divorced,high.school,unknown,no,no,telephone,may,mon,no
37,entrepreneur,married,basic.6y,no,no,no,telephone,may,mon,no
38,services,married,high.school,no,yes,yes,telephone,may,mon,no
56,admin.,divorced,unknown,unknown,no,no,telephone,may,mon,no
40,blue-collar,married,unknown,no,no,no,telephone,may,mon,no
54,management,divorced,university.degree,no,yes,no,telephone,may,mon,no
43,blue-collar,married,high.school,unknown,no,yes,telephone,may,mon,no
36,services,married,high.school,unknown,no,no,telephone,may,mon,no
45,technician,married,university.degree,no,yes,yes,telephone,may,mon,no
42,admin.,single,university.degree,unknown,no,no,telephone,may,mon,no
43,services,married,high.school,no,no,no,telephone,may,mon,no
46,management,married,basic.9y,no,no,no,telephone,may,mon,no
44,services,married,high.school,no,yes,yes,telephone,may,mon,no
51,admin.,single,basic.6y,no,no,no,telephone,may,mon,no
28,services,married,high.school,no,yes,no,telephone,may,mon,no
37,blue-collar,married,basic.9y,no,no,no,telephone,may,mon,no
34,technician,married,high.school,no,no,no,telephone,may,mon,no
46,blue-collar,married,basic.6y,unknown,yes,no,telephone,may,mon,no
42,blue-collar,married,basic.9y,no,yes,yes,telephone,may,mon,yes
36,admin.,married,university.degree,no,yes,no,telephone,may,mon,no
54,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,no
57,management,married,university.degree,no,no,no,telephone,may,mon,no
51,technician,married,basic.6y,unknown,no,no,telephone,may,mon,no
54,retired,married,high.school,unknown,no,no,telephone,may,mon,no
49,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,no
34,admin.,married,university.degree,no,yes,no,telephone,may,mon,no
41,technician,married,professional.course,no,no,no,telephone,may,mon,no
38,blue-collar,single,basic.9y,no,yes,no,telephone,may,mon,no
45,management,divorced,university.degree,no,no,no,telephone,may,mon,no
42,technician,married,university.degree,no,no,no,telephone,may,mon,no
34,blue-collar,single,basic.9y,unknown,yes,no,telephone,may,mon,no
48,blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,no
37,admin.,married,high.school,unknown,yes,no,telephone,may,mon,no
34,blue-collar,single,basic.9y,unknown,no,no,telephone,may,mon,no
40,admin.,married,basic.9y,unknown,yes,no,telephone,may,mon,no
43,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,no
33,services,married,high.school,no,no,no,telephone,may,mon,no
32,services,single,basic.6y,no,no,no,telephone,may,mon,no
39,blue-collar,married,high.school,no,yes,no,telephone,may,mon,no
43,admin.,married,unknown,no,no,no,telephone,may,mon,no
44,blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,no
35,student,single,university.degree,unknown,no,no,telephone,may,mon,no
35,student,single,university.degree,unknown,yes,yes,telephone,may,mon,no
35,unemployed,married,professional.course,no,no,no,telephone,may,mon,no
36,services,single,basic.4y,no,no,no,telephone,may,mon,no
35,student,single,university.degree,unknown,yes,no,telephone,may,mon,no
36,student,single,basic.9y,no,yes,no,telephone,may,mon,no
55,housemaid,divorced,university.degree,no,no,no,telephone,may,mon,no
59,admin.,married,university.degree,no,no,no,telephone,may,mon,no
57,retired,married,unknown,unknown,no,no,telephone,may,mon,no
39,blue-collar,married,professional.course,unknown,yes,no,telephone,may,mon,no
39,housemaid,married,basic.4y,unknown,yes,no,telephone,may,mon,no
30,blue-collar,single,unknown,no,yes,no,telephone,may,mon,no
30,blue-collar,single,unknown,no,yes,yes,telephone,may,mon,no
50,housemaid,married,basic.4y,unknown,no,no,telephone,may,mon,no
40,services,married,high.school,no,no,no,telephone,may,mon,no
35,admin.,married,high.school,no,yes,no,telephone,may,mon,no
43,technician,married,unknown,unknown,no,no,telephone,may,mon,no
36,services,single,basic.6y,unknown,yes,no,telephone,may,mon,no
46,technician,married,basic.4y,unknown,yes,no,telephone,may,mon,no
40,technician,married,basic.9y,no,no,no,telephone,may,mon,no
58,retired,married,university.degree,no,no,no,telephone,may,mon,no
42,technician,married,university.degree,no,no,no,telephone,may,mon,no
35,admin.,single,university.degree,no,no,no,telephone,may,mon,no
43,retired,married,basic.4y,unknown,no,no,telephone,may,mon,no
45,blue-collar,married,basic.4y,no,yes,yes,telephone,may,mon,no
39,admin.,married,professional.course,no,yes,no,telephone,may,mon,no
50,services,divorced,professional.course,no,yes,no,telephone,may,mon,no
32,management,divorced,basic.4y,unknown,yes,no,telephone,may,mon,no
39,admin.,married,high.school,unknown,no,no,telephone,may,mon,no
52,self-employed,married,university.degree,unknown,no,no,telephone,may,mon,no
44,admin.,married,professional.course,no,yes,no,telephone,may,mon,no
56,blue-collar,married,basic.4y,no,no,no,telephone,may,mon,no
48,admin.,married,high.school,no,no,no,telephone,may,mon,no
33,services,married,high.school,unknown,no,yes,telephone,may,mon,no
43,management,married,university.degree,unknown,no,yes,telephone,may,mon,no
57,retired,married,high.school,no,no,no,telephone,may,mon,no
36,technician,single,professional.course,no,no,no,telephone,may,mon,no
34,management,married,university.degree,no,yes,no,telephone,may,mon,no
34,services,single,basic.9y,no,no,no,telephone,may,mon,no
30,technician,married,university.degree,unknown,no,no,telephone,may,mon,no
33,services,divorced,unknown,no,no,no,telephone,may,mon,no
32,technician,single,professional.course,no,no,no,telephone,may,mon,no
36,technician,single,high.school,no,yes,no,telephone,may,mon,no
36,blue-collar,single,high.school,no,no,yes,telephone,may,mon,no
33,services,single,high.school,no,no,no,telephone,may,mon,no
40,technician,divorced,professional.course,no,no,no,telephone,may,mon,no
41,blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,no
51,services,married,basic.6y,no,yes,no,telephone,may,mon,no
36,technician,married,professional.course,no,yes,no,telephone,may,mon,no
28,services,married,unknown,no,no,no,telephone,may,mon,no
53,services,married,high.school,no,yes,yes,telephone,may,mon,no
58,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,mon,no
45,management,married,basic.9y,no,no,yes,telephone,may,mon,no
43,technician,married,unknown,no,yes,no,telephone,may,mon,no
33,admin.,married,high.school,no,no,yes,telephone,may,mon,no
33,admin.,married,high.school,no,no,yes,telephone,may,mon,no
27,blue-collar,single,basic.6y,no,unknown,unknown,telephone,may,mon,no
42,technician,married,high.school,no,no,no,telephone,may,mon,no
43,admin.,divorced,basic.9y,no,no,no,telephone,may,mon,no
42,admin.,married,university.degree,no,no,no,telephone,may,mon,no
27,blue-collar,single,basic.6y,no,no,no,telephone,may,mon,no
34,self-employed,single,university.degree,no,yes,no,telephone,may,mon,no
31,student,single,university.degree,unknown,no,no,telephone,may,mon,no
54,management,divorced,university.degree,no,no,no,telephone,may,mon,no
40,self-employed,married,basic.4y,unknown,no,no,telephone,may,mon,no
52,unemployed,married,high.school,unknown,yes,no,telephone,may,mon,no
47,management,divorced,university.degree,no,no,no,telephone,may,mon,no
49,housemaid,married,basic.9y,unknown,no,no,telephone,may,mon,no
32,admin.,single,high.school,no,no,no,telephone,may,mon,no
49,housemaid,single,high.school,unknown,yes,yes,telephone,may,mon,no
50,blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,no
34,services,married,high.school,no,no,no,telephone,may,mon,no
55,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,no
47,technician,single,basic.9y,no,no,no,telephone,may,mon,no
51,retired,married,professional.course,no,no,no,telephone,may,mon,no
47,blue-collar,married,basic.6y,no,no,no,telephone,may,mon,no
56,technician,married,basic.4y,no,yes,no,telephone,may,mon,no
53,admin.,married,basic.9y,no,no,no,telephone,may,mon,no
36,blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,no
42,blue-collar,divorced,basic.9y,no,yes,no,telephone,may,mon,no
44,blue-collar,divorced,basic.6y,no,no,no,telephone,may,mon,no
39,housemaid,married,basic.9y,no,yes,no,telephone,may,mon,yes
37,admin.,single,high.school,no,yes,yes,telephone,may,mon,no
60,blue-collar,married,unknown,unknown,yes,no,telephone,may,mon,no
36,services,married,high.school,no,no,no,telephone,may,mon,no
42,management,divorced,university.degree,no,yes,no,telephone,may,mon,no
31,admin.,married,high.school,no,yes,yes,telephone,may,mon,no
53,technician,divorced,professional.course,unknown,no,yes,telephone,may,mon,no
45,blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,no
37,technician,single,professional.course,no,yes,no,telephone,may,mon,no
47,self-employed,married,professional.course,no,no,no,telephone,may,mon,no
49,blue-collar,divorced,high.school,no,no,yes,telephone,may,mon,no
36,admin.,married,university.degree,no,yes,no,telephone,may,mon,no
35,services,divorced,high.school,no,no,no,telephone,may,mon,no
38,unknown,married,unknown,unknown,no,no,telephone,may,mon,no
38,services,single,high.school,unknown,no,no,telephone,may,mon,no
50,blue-collar,divorced,high.school,unknown,no,yes,telephone,may,mon,no
59,retired,married,professional.course,unknown,no,no,telephone,may,mon,no
43,unknown,married,unknown,no,yes,no,telephone,may,mon,no
42,admin.,married,high.school,no,yes,no,telephone,may,mon,no
40,admin.,married,basic.6y,unknown,yes,no,telephone,may,mon,no
46,blue-collar,married,unknown,unknown,no,no,telephone,may,mon,no
57,housemaid,divorced,basic.4y,no,yes,yes,telephone,may,mon,no
42,admin.,married,university.degree,no,yes,no,telephone,may,mon,no
41,blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,no
54,management,divorced,university.degree,no,yes,no,telephone,may,mon,no
27,admin.,single,university.degree,no,no,no,telephone,may,mon,no
36,admin.,married,high.school,no,no,no,telephone,may,mon,no
58,blue-collar,married,professional.course,unknown,yes,no,telephone,may,mon,no
40,management,married,university.degree,unknown,yes,no,telephone,may,mon,no
34,admin.,single,basic.9y,unknown,no,no,telephone,may,mon,no
33,admin.,divorced,high.school,no,no,no,telephone,may,mon,no
56,retired,married,basic.6y,no,no,no,telephone,may,mon,no
42,blue-collar,married,basic.9y,no,no,no,telephone,may,mon,no
43,services,married,high.school,no,yes,no,telephone,may,mon,no
54,management,single,basic.9y,no,yes,no,telephone,may,mon,no
53,admin.,single,basic.6y,no,yes,yes,telephone,may,mon,no
42,technician,single,unknown,no,no,no,telephone,may,mon,no
40,services,married,basic.6y,unknown,no,no,telephone,may,mon,no
54,technician,married,professional.course,no,yes,yes,telephone,may,mon,no
40,housemaid,single,professional.course,no,no,no,telephone,may,mon,no
26,admin.,single,university.degree,no,yes,no,telephone,may,mon,no
33,admin.,married,high.school,no,no,no,telephone,may,mon,no
35,blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,no
36,admin.,married,high.school,no,no,no,telephone,may,mon,no
29,services,single,high.school,no,yes,no,telephone,may,mon,no
36,blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,no
35,management,married,high.school,no,yes,no,telephone,may,mon,no
50,self-employed,single,university.degree,no,no,yes,telephone,may,mon,no
46,services,married,high.school,unknown,yes,no,telephone,may,mon,no
49,entrepreneur,married,high.school,no,yes,no,telephone,may,mon,no
42,technician,single,professional.course,unknown,yes,no,telephone,may,mon,no
36,blue-collar,single,high.school,no,yes,yes,telephone,may,mon,no
55,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,mon,no
41,management,married,university.degree,unknown,no,no,telephone,may,mon,no
57,management,married,professional.course,unknown,yes,no,telephone,may,mon,no
32,services,single,high.school,no,yes,no,telephone,may,mon,no
49,admin.,married,basic.9y,no,no,no,telephone,may,mon,no
57,unknown,married,unknown,unknown,yes,no,telephone,may,mon,no
58,blue-collar,divorced,basic.4y,no,yes,no,telephone,may,mon,no
52,technician,married,high.school,no,yes,no,telephone,may,mon,no
50,services,divorced,professional.course,no,no,no,telephone,may,mon,no
41,blue-collar,single,basic.9y,unknown,yes,no,telephone,may,mon,no
33,entrepreneur,married,university.degree,no,yes,no,telephone,may,mon,no
57,blue-collar,married,basic.4y,no,no,no,telephone,may,mon,no
48,blue-collar,married,basic.6y,unknown,no,no,telephone,may,mon,no
55,technician,married,professional.course,no,no,no,telephone,may,mon,no
38,management,married,university.degree,no,no,no,telephone,may,mon,no
38,services,married,high.school,no,yes,no,telephone,may,mon,no
53,admin.,married,university.degree,no,yes,no,telephone,may,mon,no
43,unemployed,single,university.degree,no,no,no,telephone,may,mon,no
36,blue-collar,single,high.school,no,no,no,telephone,may,mon,no
32,blue-collar,married,basic.9y,no,no,no,telephone,may,mon,no
33,services,married,basic.4y,no,no,no,telephone,may,mon,no
58,entrepreneur,married,basic.4y,no,yes,no,telephone,may,mon,no
40,unemployed,divorced,high.school,unknown,no,no,telephone,may,tue,no
57,management,married,university.degree,no,yes,no,telephone,may,tue,no
45,technician,married,high.school,no,yes,no,telephone,may,tue,no
42,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,tue,no
46,admin.,married,university.degree,no,yes,no,telephone,may,tue,no
36,technician,married,university.degree,no,no,no,telephone,may,tue,no
41,self-employed,married,high.school,no,yes,no,telephone,may,tue,no
57,admin.,divorced,basic.9y,no,no,no,telephone,may,tue,no
49,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,tue,no
56,management,divorced,high.school,no,no,no,telephone,may,tue,no
37,blue-collar,married,basic.9y,no,no,no,telephone,may,tue,no
37,blue-collar,married,basic.9y,no,no,yes,telephone,may,tue,no
46,admin.,single,high.school,no,yes,no,telephone,may,tue,no
22,blue-collar,single,basic.9y,no,yes,no,telephone,may,tue,no
43,services,married,high.school,no,no,no,telephone,may,tue,no
49,blue-collar,married,unknown,no,no,no,telephone,may,tue,no
41,technician,married,basic.6y,no,yes,no,telephone,may,tue,no
38,admin.,single,university.degree,no,no,no,telephone,may,tue,no
33,admin.,married,basic.9y,no,no,no,telephone,may,tue,no
49,admin.,married,university.degree,no,yes,yes,telephone,may,tue,no
30,blue-collar,single,unknown,no,no,no,telephone,may,tue,no
33,admin.,married,basic.9y,no,yes,no,telephone,may,tue,no
34,management,single,university.degree,no,no,no,telephone,may,tue,no
30,student,single,unknown,unknown,no,no,telephone,may,tue,no
59,management,married,basic.4y,unknown,yes,yes,telephone,may,tue,no
59,management,married,basic.4y,unknown,unknown,unknown,telephone,may,tue,no
41,self-employed,married,university.degree,no,no,no,telephone,may,tue,no
48,housemaid,married,basic.6y,unknown,yes,yes,telephone,may,tue,no
28,unknown,single,unknown,unknown,yes,yes,telephone,may,tue,yes
44,services,married,high.school,no,yes,no,telephone,may,tue,yes
59,retired,unknown,university.degree,unknown,no,no,telephone,may,tue,no
50,management,married,high.school,unknown,no,no,telephone,may,tue,no
35,admin.,married,university.degree,no,no,no,telephone,may,tue,no
42,admin.,married,high.school,no,no,no,telephone,may,tue,no
45,admin.,married,basic.9y,no,no,no,telephone,may,tue,no
36,technician,married,professional.course,no,no,no,telephone,may,tue,no
56,services,married,high.school,unknown,no,no,telephone,may,tue,no
29,blue-collar,divorced,basic.4y,no,no,no,telephone,may,tue,no
41,self-employed,married,university.degree,no,yes,yes,telephone,may,tue,no
42,blue-collar,married,basic.9y,unknown,no,no,telephone,may,tue,no
52,services,single,high.school,no,no,no,telephone,may,tue,no
48,services,married,high.school,unknown,unknown,unknown,telephone,may,tue,no
31,blue-collar,married,high.school,unknown,yes,no,telephone,may,tue,no
43,unemployed,married,university.degree,unknown,yes,no,telephone,may,tue,no
36,blue-collar,married,basic.4y,unknown,no,no,telephone,may,tue,no
42,entrepreneur,married,university.degree,no,yes,no,telephone,may,tue,no
52,services,divorced,basic.6y,no,no,no,telephone,may,tue,no
39,admin.,married,high.school,no,yes,no,telephone,may,tue,no
36,services,married,high.school,no,no,yes,telephone,may,tue,no
42,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,tue,no
41,admin.,married,high.school,no,no,no,telephone,may,tue,no
55,technician,married,basic.4y,no,no,yes,telephone,may,tue,no
30,blue-collar,married,basic.9y,no,no,no,telephone,may,tue,no
57,retired,unknown,basic.4y,no,no,no,telephone,may,tue,no
45,entrepreneur,married,basic.4y,unknown,yes,no,telephone,may,tue,no
51,blue-collar,married,basic.4y,unknown,yes,yes,telephone,may,tue,no
39,self-employed,single,basic.9y,unknown,yes,yes,telephone,may,tue,no
47,admin.,married,high.school,unknown,no,no,telephone,may,tue,no
27,services,married,high.school,no,yes,no,telephone,may,tue,no
34,technician,single,university.degree,no,yes,no,telephone,may,tue,no
57,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,tue,no
43,entrepreneur,married,basic.4y,no,no,no,telephone,may,tue,no
49,blue-collar,married,basic.4y,unknown,no,no,telephone,may,tue,no
39,management,married,university.degree,unknown,no,no,telephone,may,tue,no
38,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,tue,no
49,blue-collar,married,basic.9y,no,no,no,telephone,may,tue,no
58,management,married,basic.6y,no,no,no,telephone,may,tue,no
43,technician,married,professional.course,no,yes,no,telephone,may,tue,no
50,unknown,married,unknown,unknown,yes,no,telephone,may,tue,no
31,services,married,high.school,unknown,no,no,telephone,may,tue,no
43,self-employed,divorced,university.degree,no,no,no,telephone,may,tue,no
43,self-employed,married,basic.9y,unknown,no,no,telephone,may,tue,no
30,self-employed,single,university.degree,no,yes,no,telephone,may,tue,no
27,services,single,professional.course,no,yes,yes,telephone,may,tue,no
51,services,married,unknown,unknown,no,no,telephone,may,tue,no
37,technician,married,professional.course,no,yes,no,telephone,may,tue,no
46,housemaid,married,basic.9y,no,yes,no,telephone,may,tue,no
35,blue-collar,married,professional.course,no,no,no,telephone,may,tue,no
47,admin.,divorced,university.degree,no,no,no,telephone,may,tue,no
